unitid,headcountAll,headcountUndergrad
144962,3791,3508
144971,826,826
145239,489,489
145275,448,0
145336,7652,4171
145372,1954,1453
145460,1038,867
145497,507,501
145521,3628,3628
145558,2037,0
145600,31400,18698
145619,9517,4750
145628,646,0
145637,47684,33400
145646,2105,2105
145682,18720,18720
145691,980,962
145707,2561,2561
145725,8673,2999
145770,1921,532
145813,23713,19965
145831,7360,7360
145886,98,0
146010,1199,1199
146205,18111,18111
146241,1804,0
146278,3792,3792
146296,31902,31902
146339,1410,1213
146348,10096,10096
146366,9592,9592
146384,13163,0
146393,3044,3044
146418,7696,7696
146427,1457,1457
146472,30902,30902
146481,1611,1582
146490,902,0
146506,24330,24330
146533,393,393
146603,11941,11941
146612,7993,5242
146621,75,75
146667,1195,716
146676,1395,1395
146685,14177,14177
146700,1845,1845
146719,18273,11095
146728,289,0
146755,284,284
146816,249,249
146825,598,598
146977,245,0
147004,11113,11113
147013,3979,2755
147031,136,0
147129,661,661
147165,867,867
147244,2624,2497
147341,1361,1361
147369,4517,3753
147378,33209,33209
147396,94,94
147411,8395,8395
147536,8439,1870
147590,1064,153
147660,3368,2985
147679,3719,2440
147697,201,0
147703,26160,18830
147749,1081,1081
147767,24343,11076
147776,14443,11325
147800,25928,25928
147828,5589,3442
147916,24014,24014
148007,9154,9154
148016,566,566
148131,2666,1425
148140,441,441
148177,4072,4072
148256,14469,14469
148292,7994,7994
148335,5128,4313
148380,15540,15540
148399,1226,1226
148405,2166,1153
148487,7926,4486
148496,4267,2142
148511,2305,106
148575,728,468
148584,4603,2052
148593,112,112
148627,5493,3432
148654,6234,3631
148672,4298,4298
148724,53,0
148821,7080,7080
148849,138,138
148876,2254,2254
148885,239,0
148937,5534,5534
148982,336,0
148991,4224,4224
149019,,
149028,312,240
149222,22536,17448
149231,16427,12773
149240,,
149310,785,785
149329,95,79
149365,15211,15211
149505,1594,1594
149514,3438,1286
149532,24366,24366
149587,,
149639,1282,194
149727,19058,19058
149763,515,392
149772,14583,11892
149781,3357,2559
149842,27135,27135
150048,630,630
150066,3003,2232
150136,24880,18936
150145,2450,2136
150163,4818,3952
150172,1403,1163
150215,235,0
150251,325,325
150288,403,0
150400,2381,2381
150455,1270,1123
150534,3095,2907
150604,1149,1149
150668,1101,1046
150677,1868,1414
150756,1076,1076
150774,485,485
150941,1380,1263
150987,175313,175313
151102,17014,15966
151111,37519,27556
151166,9791,9791
151263,6579,4993
151290,7149,6465
151306,14040,12934
151324,15018,12204
151333,4133,3952
151342,10188,9350
151351,46154,34639
151360,7646,6824
151379,8680,7532
151388,4868,4659
151458,672,672
151467,484,484
151485,,
151494,1136,1136
151500,972,972
151519,14411,14122
151616,1134,1134
151625,724,724
151661,2092,2092
151777,1359,1333
151786,3252,2778
151801,23871,16657
151810,1361,1263
151865,136,0
151944,1459,1459
151962,175,175
152080,12702,8604
152099,3343,2936
152220,707,707
152248,12612,11082
152266,7025,6929
152318,2039,1929
152336,2656,2219
152363,1203,1169
152381,1418,1210
152390,1548,1548
152415,783,783
152424,121,121
152451,309,0
152530,2946,2772
152567,1942,1935
152600,4454,3102
152637,23901,23901
152673,917,917
152798,710,530
152822,1090,1090
152992,1286,1169
153001,3839,3659
153108,1713,1713
153126,1380,1098
153144,1530,1508
153162,1209,1209
153214,38624,38624
153241,143,143
153250,1480,1412
153269,7181,3862
153278,2159,1758
153296,1269,1269
153302,260,260
153311,14504,14504
153320,392,318
153366,3150,1889
153375,2244,2210
153384,1744,1744
153409,445,412
153418,966,921
153427,531,531
153445,9529,9529
153472,7440,7440
153524,8813,8813
153533,4472,4472
153603,32981,26523
153621,880,880
153630,9725,9725
153658,33351,23157
153737,21621,21621
153825,1663,1575
153834,2528,2528
153861,1439,435
153922,2971,2971
